<http://codes.wmo.int/def/common/code_figure>,<http://codes.wmo.int/def/common/wmoAbbreviation>,<http://codes.wmo.int/def/common/wmoAbbreviationIA2>,<http://codes.wmo.int/def/common/wmoAbbreviationIA5>,@id,dct:definition,rdf:type,rdfs:label,skos:altLabel,skos:notation,skos:prefLabel
'034',W,W,W,<http://codes.wmo.int/common/unit/W>,kg m^2 s^-3,skos:Concept|<http://codes.wmo.int/def/common/Unit>,watt,W,W,watt
'810',W m^-1 sr^-1,W m-1 sr-1,"",<http://codes.wmo.int/common/unit/W_m-1_sr-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,watts per metre per steradian,W m^-1 sr^-1,W m-1 sr-1,watts per metre per steradian
'811',W m^-2,W m-2,"",<http://codes.wmo.int/common/unit/W_m-2>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,watts per square metre,W m^-2,W m-2,watts per square metre
'812',W m^-2 sr^-1,W m-2 sr-1,"",<http://codes.wmo.int/common/unit/W_m-2_sr-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,watts per square metre per steradian,W m^-2 sr^-1,W m-2 sr-1,watts per square metre per steradian
'813',W m^-2 sr^-1 cm,W m-2 sr-1 cm,"",<http://codes.wmo.int/common/unit/W_m-2_sr-1_cm>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,watts per square metre per steradian centimetre,W m^-2 sr^-1 cm,W m-2 sr-1 cm,watts per square metre per steradian centimetre
'814',W m^-2 sr^-1 m,W m-2 sr-1 m,"",<http://codes.wmo.int/common/unit/W_m-2_sr-1_m>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,watts per square metre per steradian metre,W m^-2 sr^-1 m,W m-2 sr-1 m,watts per square metre per steradian metre
'815',W m^-3 sr^-1,W m-3 sr-1,"",<http://codes.wmo.int/common/unit/W_m-3_sr-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,watts per cubic metre per steradian,W m^-3 sr^-1,W m-3 sr-1,watts per cubic metre per steradian
'040',Wb,Wb,WB,<http://codes.wmo.int/common/unit/Wb>,kg m^2 s^-2 A^-1,skos:Concept|<http://codes.wmo.int/def/common/Unit>,weber,Wb,Wb,weber
'231',a,a,A,<http://codes.wmo.int/common/unit/a>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,year,a,a,year
no,a,a,A,<http://codes.wmo.int/common/unit/a_pref>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,atto,a,a,atto
no,c,c,C,<http://codes.wmo.int/common/unit/c_pref>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,centi,c,c,centi
'522',cb/12 h,cb/12 h,CB/12 HR,<http://codes.wmo.int/common/unit/cb_-1>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,centibars per 12 hours,cb/12 h,cb/12 h,centibars per 12 hours
'521',cb s^-1,cb/s,CB/S,<http://codes.wmo.int/common/unit/cb_s-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,centibars per second,cb s^-1,cb/s,centibars per second
'007',cd,cd,CD,<http://codes.wmo.int/common/unit/cd>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,candela,cd,cd,candela
'715',cm,cm,CM,<http://codes.wmo.int/common/unit/cm>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,centimetre,cm,cm,centimetre
'717',cm h^-1,cm/h,CM/HR,<http://codes.wmo.int/common/unit/cm_h-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,centimetres per hour,cm h^-1,cm/h,centimetres per hour
'716',cm s^-1,cm/s,CM/S,<http://codes.wmo.int/common/unit/cm_s-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,centimetres per second,cm s^-1,cm/s,centimetres per second
'132',d,d,D,<http://codes.wmo.int/common/unit/d>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,day,d,d,day
'210',dB,dB,DB,<http://codes.wmo.int/common/unit/dB>,"",<http://codes.wmo.int/def/common/Unit>|skos:Concept,decibel (6),dB,dB,decibel (6)
'836',dB degree^-1,dB/deg,"",<http://codes.wmo.int/common/unit/dB_deg-1>,"",skos:Concept|<http://codes.wmo.int/def/common/Unit>,decibels per degree,dB degree^-1,dB/deg,decibels per degree
